iter	Passed	Remaining
0	7	703
1	13	643
2	16	537
3	19	471
4	23	451
5	28	450
6	37	496
7	41	481
8	45	461
9	51	464
10	58	476
11	62	456
12	65	440
13	71	441
14	76	432
15	80	424
16	86	424
17	90	412
18	96	409
19	101	407
20	106	398
21	120	426
22	123	415
23	129	408
24	136	409
25	140	398
26	145	393
27	151	389
28	162	397
29	166	388
30	170	380
31	184	391
32	484	983
33	490	951
34	504	937
35	531	945
36	546	931
37	552	901
38	567	888
39	1001	1502
40	1011	1456
41	1013	1399
42	1019	1350
43	1038	1321
44	1122	1372
45	1140	1338
46	1154	1302
47	1170	1268
48	1216	1266
49	1221	1221
50	1254	1204
51	1269	1171
52	1282	1137
53	1298	1105
54	1300	1063
55	1338	1051
56	1356	1022
57	1369	991
58	1380	959
59	1385	923
60	1403	897
61	1415	867
62	1420	834
63	1435	807
64	1450	781
65	1462	753
66	1466	722
67	1485	698
68	1500	674
69	1512	648
70	1516	619
71	1530	595
72	1541	570
73	1546	543
74	1559	519
75	1563	493
76	1574	470
77	1579	445
78	1594	423
79	1597	399
80	1609	377
81	1613	354
82	1627	333
83	1638	312
84	1658	292
85	1662	270
86	1668	249
87	1671	227
88	1677	207
89	1688	187
90	1692	167
91	1706	148
92	1720	129
93	1741	111
94	1755	92
95	1759	73
96	1776	54
97	1789	36
98	1804	18
99	1807	0
